project,0,1,2,3,4,5
AALS,71.27%,27.19%,8.33%,2.85%,0.88%,0.22%
CEFT,75.42%,39.29%,16.18%,6.51%,3.78%,1.26%
EMORY,74.44%,31.08%,11.78%,5.01%,2.01%,1.50%
PRO-ACT,77.87%,27.16%,9.99%,3.73%,1.27%,0.31%
