project,0,1,2,3,4,5
AALS,41.01%,9.43%,3.51%,0.66%,0.22%,0.00%
CEFT,32.14%,4.20%,0.21%,0.00%,0.00%,0.00%
EMORY,35.59%,9.02%,3.01%,1.25%,0.75%,0.50%
PRO-ACT,45.54%,4.21%,0.27%,0.00%,0.00%,0.00%
